ROW     COL     TYPE                TOKEN/ERROR MESSAGE 
1       1       Keyword             PROGRAM
1       9       Keyword             IS
2       5       Keyword             VAR
2       9       Identifer           i
2       10      Delimiter           ,
2       12      Identifer           j
2       14      Delimiter           :
2       16      Identifer           INTEGER
2       24      Operator            :=
2       27      Integer             1
2       28      Delimiter           ;
3       5       Keyword             VAR
3       9       Identifer           x
3       11      Delimiter           :
3       13      Identifer           REAL
3       18      Operator            :=
3       21      Real                2.0
3       24      Delimiter           ;
4       5       Keyword             VAR
4       9       Identifer           y
4       11      Delimiter           :
4       13      Identifer           REAL
4       18      Operator            :=
4       21      Real                3.0
4       24      Delimiter           ;
5       1       Keyword             BEGIN
6       5       Keyword             WRITE
6       11      Delimiter           (
6       12      String              "i = "
6       18      Delimiter           ,
6       20      Identifer           i
6       21      Delimiter           ,
6       23      String              ", j = "
6       31      Delimiter           ,
6       33      Identifer           j
6       34      Delimiter           )
6       35      Delimiter           ;
7       5       Keyword             WRITE
7       11      Delimiter           (
7       12      String              "x = "
7       18      Delimiter           ,
7       20      Identifer           x
7       21      Delimiter           ,
7       23      String              ", y = "
7       31      Delimiter           ,
7       33      Identifer           y
7       34      Delimiter           )
7       35      Delimiter           ;
8       1       Keyword             END
8       4       Delimiter           ;

Number of tokens: 50
ROW     COL     TYPE                TOKEN/ERROR MESSAGE 
1       1       Keyword             PROGRAM
1       9       Keyword             IS
2       5       Keyword             VAR
2       9       Identifer           A
2       10      Delimiter           ,
2       12      Identifer           B
2       14      Delimiter           :
2       16      Identifer           REAL
2       21      Operator            :=
2       24      Real                0.0
2       27      Delimiter           ;
3       5       Identifer           C
3       7       Delimiter           :
3       9       Identifer           REAL
3       14      Operator            :=
3       17      Real                0.0
3       20      Delimiter           ;
4       1       Keyword             BEGIN
5       5       Keyword             WRITE
5       11      Delimiter           (
5       12      String              "ENTER TWO REALS:"
5       30      Delimiter           )
5       31      Delimiter           ;
6       5       Keyword             READ
6       10      Delimiter           (
6       11      Identifer           A
6       12      Delimiter           ,
6       14      Identifer           B
6       15      Delimiter           )
6       16      Delimiter           ;
7       5       Identifer           C
7       7       Operator            :=
7       10      Real                8.0
7       13      Delimiter           ;
8       5       Keyword             WRITE
8       11      Delimiter           (
8       12      String              "A="
8       16      Delimiter           ,
8       18      Identifer           A
8       19      Delimiter           ,
8       21      String              ", B="
8       27      Delimiter           ,
8       29      Identifer           B
8       30      Delimiter           ,
8       32      String              ", C="
8       38      Delimiter           ,
8       40      Identifer           C
8       41      Delimiter           )
8       42      Delimiter           ;
9       5       Identifer           C
9       7       Operator            :=
9       10      Identifer           A
9       12      Operator            -
9       14      Delimiter           (
9       15      Operator            -
